Time,ID1,ID2,S1,S2
140,15,31,MED,ADM
160,15,22,MED,MED
500,15,16,MED,MED
520,15,16,MED,MED
560,16,22,MED,MED
580,16,22,MED,MED
600,16,22,MED,MED
620,16,22,MED,MED
680,16,22,MED,MED
680,11,16,MED,MED
700,11,22,MED,MED
720,11,22,MED,MED
740,11,22,MED,MED
760,11,22,MED,MED
780,11,22,MED,MED
800,11,22,MED,MED
820,11,22,MED,MED
840,11,22,MED,MED
860,11,22,MED,MED
880,11,22,MED,MED
900,11,22,MED,MED
920,15,16,MED,MED
920,11,22,MED,MED
920,11,16,MED,MED
940,15,16,MED,MED
940,11,16,MED,MED
960,15,16,MED,MED
960,11,16,MED,MED
980,11,16,MED,MED
1800,14,22,MED,MED
1820,14,22,MED,MED
1840,14,22,MED,MED
2260,3,37,NUR,NUR
2340,3,37,NUR,NUR
2420,15,22,MED,MED
2440,15,22,MED,MED
2480,15,22,MED,MED
2580,3,37,NUR,NUR
2620,3,37,NUR,NUR
2700,5,37,NUR,NUR
2720,3,37,NUR,NUR
2900,3,6,NUR,NUR
3200,3,37,NUR,NUR
3720,5,7,NUR,NUR
3740,5,7,NUR,NUR
3760,5,37,NUR,NUR
3980,1,20,ADM,NUR
4020,3,5,NUR,NUR
4020,3,37,NUR,NUR
4080,1,17,ADM,NUR
4160,3,37,NUR,NUR
4160,8,17,NUR,NUR
4180,17,37,NUR,NUR
4180,31,37,ADM,NUR
4180,3,37,NUR,NUR
4180,5,17,NUR,NUR
4180,8,17,NUR,NUR
4180,8,37,NUR,NUR
4200,5,31,NUR,ADM
4200,8,17,NUR,NUR
4220,5,31,NUR,ADM
4240,6,37,NUR,NUR
4240,23,31,NUR,ADM
4240,5,31,NUR,ADM
4240,8,17,NUR,NUR
4260,5,23,NUR,NUR
4260,23,37,NUR,NUR
4280,10,13,NUR,NUR
4280,5,31,NUR,ADM
4280,1,6,ADM,NUR
4280,8,17,NUR,NUR
4280,5,37,NUR,NUR
4280,23,37,NUR,NUR
4300,8,23,NUR,NUR
4300,17,23,NUR,NUR
4300,8,17,NUR,NUR
4300,23,37,NUR,NUR
4320,8,23,NUR,NUR
4320,17,37,NUR,NUR
4320,17,23,NUR,NUR
4320,3,17,NUR,NUR
4320,23,37,NUR,NUR
4320,8,37,NUR,NUR
4340,17,37,NUR,NUR
4340,6,8,NUR,NUR
4340,3,19,NUR,ADM
4360,3,31,NUR,ADM
4360,1,6,ADM,NUR
4360,19,31,ADM,ADM
4380,6,8,NUR,NUR
4380,23,31,NUR,ADM
4380,3,31,NUR,ADM
4380,1,6,ADM,NUR
4400,20,31,NUR,ADM
4400,3,31,NUR,ADM
4400,17,31,NUR,ADM
4400,1,6,ADM,NUR
4400,3,17,NUR,NUR
4420,6,8,NUR,NUR
4420,20,37,NUR,NUR
4420,1,6,ADM,NUR
4420,31,37,ADM,NUR
4420,3,37,NUR,NUR
4420,3,17,NUR,NUR
4440,1,6,ADM,NUR
4440,31,37,ADM,NUR
4460,3,31,NUR,ADM
4460,3,37,NUR,NUR
4480,3,5,NUR,NUR
4480,1,23,ADM,NUR
4480,3,31,NUR,ADM
4480,3,23,NUR,NUR
4480,3,37,NUR,NUR
4480,5,23,NUR,NUR
4480,5,37,NUR,NUR
4500,3,5,NUR,NUR
4500,3,31,NUR,ADM
4500,3,23,NUR,NUR
4500,5,23,NUR,NUR
4500,23,37,NUR,NUR
4520,8,23,NUR,NUR
4520,3,23,NUR,NUR
4520,3,37,NUR,NUR
4520,3,8,NUR,NUR
4520,23,37,NUR,NUR
4540,3,5,NUR,NUR
4540,3,23,NUR,NUR
4540,15,22,MED,MED
4540,3,37,NUR,NUR
4540,5,23,NUR,NUR
4540,23,37,NUR,NUR
4560,8,23,NUR,NUR
4560,3,5,NUR,NUR
4560,3,23,NUR,NUR
4560,15,22,MED,MED
4560,3,37,NUR,NUR
4560,3,8,NUR,NUR
4560,5,37,NUR,NUR
4560,23,37,NUR,NUR
4580,3,5,NUR,NUR
4580,15,22,MED,MED
4580,5,23,NUR,NUR
4580,5,37,NUR,NUR
4600,3,31,NUR,ADM
4600,15,22,MED,MED
4600,5,13,NUR,NUR
4620,13,31,NUR,ADM
4620,15,22,MED,MED
4640,3,5,NUR,NUR
4640,13,31,NUR,ADM
4640,15,22,MED,MED
4660,15,22,MED,MED
4680,15,22,MED,MED
4700,13,31,NUR,ADM
4700,15,22,MED,MED
4720,10,13,NUR,NUR
4720,15,22,MED,MED
4740,1,6,ADM,NUR
